SampleID	SampleName	Compost	Material	Day	Replication	Degradation	Mass	Concentration	Extract_Subject
212	NG-Blank2-42d	NG	Blank	42	2	583.73	454.6	5.56	XYJ
213	NG-Blank3-42d	NG	Blank	42	3	606.6	460.2	7.68	XYJ
214	GL-PBAT1-42d	GL	PBAT	42	1	75.4	457.7	214	617
215	GL-PBAT2-42d	GL	PBAT	42	2	56.69	445.9	168	617
216	GL-PBAT3-42d	GL	PBAT	42	3	83.82	453.1	210	617
217	GL-PET1-42d	GL	PET	42	1	10.95	445.6	170	617
218	GL-PET2-42d	GL	PET	42	2	10.21	449.8	113	617
219	GL-PET3-42d	GL	PET	42	3	1.31	449.1	133	XYJ
223	GL-Blank1-42d	GL	Blank	42	1	478.51	440.6	180	XYJ
224	GL-Blank2-42d	GL	Blank	42	2	436.05	448.2	123	617
225	GL-Blank3-42d	GL	Blank	42	3	421.5	457.4	131	617
226	NG-PBAT1-49d	NG	PBAT	49	1	47.32	454.6	53.2	XYJ
227	NG-PBAT2-49d	NG	PBAT	49	2	42.08	450.3	70.2	XYJ
228	NG-PBAT3-49d	NG	PBAT	49	3	57.7	454.9	51.8	XYJ
229	NG-PET1-49d	NG	PET	49	1	-0.12	451.1	5.24	XYJ
230	NG-PET2-49d	NG	PET	49	2	-1.27	449.4	5.3	XYJ
231	NG-PET3-49d	NG	PET	49	3	0.92	464.2	3.22	XYJ
232	NG-Cellulose1-49d	NG	Cellulose	49	1	29.51	455.5	13.9	XYJ
233	NG-Cellulose2-49d	NG	Cellulose	49	2	38.34	451.3	15.5	XYJ
234	NG-Cellulose3-49d	NG	Cellulose	49	3	44.91	449.6	25.8	XYJ
235	NG-Blank1-49d	NG	Blank	49	1	658.31	450.6	4.4	XYJ
236	NG-Blank2-49d	NG	Blank	49	2	674.22	452.4	5.38	XYJ
237	NG-Blank3-49d	NG	Blank	49	3	698.09	449.6	4.4	XYJ
238	GL-PBAT1-49d	GL	PBAT	49	1	80.77	454.9	161	617
239	GL-PBAT2-49d	GL	PBAT	49	2	54.95	445.1	163	617
240	GL-PBAT3-49d	GL	PBAT	49	3	86.09	460.5	180	617
241	GL-PET1-49d	GL	PET	49	1	11.74	442.4	188	617
242	GL-PET2-49d	GL	PET	49	2	14.23	456.2	122	617
243	GL-PET3-49d	GL	PET	49	3	2.23	456.5	134	XYJ
244	GL-Cellulose1-49d	GL	Cellulose	49	1	70.25	450.2	180	617
245	GL-Cellulose2-49d	GL	Cellulose	49	2	64.42	460.4	152	617
246	GL-Cellulose3-49d	GL	Cellulose	49	3	61.41	467.6	166	617
247	GL-Blank1-49d	GL	Blank	49	1	512.62	458.8	109	617
248	GL-Blank2-49d	GL	Blank	49	2	469.92	449.4	122	XYJ
249	GL-Blank3-49d	GL	Blank	49	3	461.57	461.8	132	617
250	NG-PBAT1-56d	NG	PBAT	56	1	49.93	452.6	46.6	XYJ
251	NG-PBAT2-56d	NG	PBAT	56	2	47.71	472.3	55.2	XYJ
252	NG-PBAT3-56d	NG	PBAT	56	3	64.98	450.1	65	XYJ
259	NG-Blank1-56d	NG	Blank	56	1	761.73	447.7	7.26	617
260	NG-Blank2-56d	NG	Blank	56	2	764.72	452.2	5.36	617
261	NG-Blank3-56d	NG	Blank	56	3	799.52	448.2	3.32	XYJ
262	GL-PBAT1-56d	GL	PBAT	56	1	83.91	452	160	617
263	GL-PBAT2-56d	GL	PBAT	56	2	56.65	468.6	169	XYJ
264	GL-PBAT3-56d	GL	PBAT	56	3	88.36	446.2	176	XYJ
265	GL-PET1-56d	GL	PET	56	1	12.57	458.3	144	617
266	GL-PET2-56d	GL	PET	56	2	17.11	462.2	106	XYJ
267	GL-PET3-56d	GL	PET	56	3	2.14	456.6	148	XYJ
271	GL-Blank1-56d	GL	Blank	56	1	556.51	459	114	617
272	GL-Blank2-56d	GL	Blank	56	2	515.24	465	94.2	617
273	GL-Blank3-56d	GL	Blank	56	3	509.28	448.8	144	XYJ
298	NG-PBAT1-70d	NG	PBAT	70	1	57	453.8	58.4	XYJ
299	NG-PBAT2-70d	NG	PBAT	70	2	56.83	454.7	45.2	XYJ
300	NG-PBAT3-70d	NG	PBAT	70	3	71.26	476.3	37.6	617
301	NG-PET1-70d	NG	PET	70	1	0.19	451.2	3.62	XYJ
302	NG-PET2-70d	NG	PET	70	2	-0.17	470.4	3.72	617
303	NG-PET3-70d	NG	PET	70	3	1.75	460.2	4.66	XYJ
304	NG-Cellulose1-70d	NG	Cellulose	70	1	33.93	458.3	37.4	XYJ
305	NG-Cellulose2-70d	NG	Cellulose	70	2	46.75	456.9	25.6	XYJ
306	NG-Cellulose3-70d	NG	Cellulose	70	3	54.85	452.4	18.9	617
307	NG-Blank1-70d	NG	Blank	70	1	978.52	449.7	5.02	XYJ
308	NG-Blank2-70d	NG	Blank	70	2	928.8	449.3	2.88	XYJ
309	NG-Blank3-70d	NG	Blank	70	3	1019.29	478.1	4.6	XYJ
310	GL-PBAT1-70d	GL	PBAT	70	1	88.31	451.2	168	617
311	GL-PBAT2-70d	GL	PBAT	70	2	61.14	446.8	87.8	617
312	GL-PBAT3-70d	GL	PBAT	70	3	90.54	456.8	114	617
313	GL-PET1-70d	GL	PET	70	1	14.53	448.7	79.8	XYJ
314	GL-PET2-70d	GL	PET	70	2	22.17	458.2	120	617
315	GL-PET3-70d	GL	PET	70	3	3.58	460.8	58.4	617
316	GL-Cellulose1-70d	GL	Cellulose	70	1	76.56	449.5	96.2	617
317	GL-Cellulose2-70d	GL	Cellulose	70	2	67.24	447.8	98.8	617
318	GL-Cellulose3-70d	GL	Cellulose	70	3	69.45	464.4	122	XYJ
319	GL-Blank1-70d	GL	Blank	70	1	622.35	450.7	87	XYJ
320	GL-Blank2-70d	GL	Blank	70	2	584.18	445.4	82.4	XYJ
321	GL-Blank3-70d	GL	Blank	70	3	587.76	451.4	114	617
346	NG-PBAT1-84d	NG	PBAT	84	1	59.09	449.8	56.8	XYJ
347	NG-PBAT2-84d	NG	PBAT	84	2	56.21	454.8	63.2	XYJ
348	NG-PBAT3-84d	NG	PBAT	84	3	74.01	449.1	34.4	XYJ
355	NG-Blank1-84d	NG	Blank	84	1	1130.67	457.3	9.86	XYJ
356	NG-Blank2-84d	NG	Blank	84	2	1160.5	457.5	5.98	XYJ
357	NG-Blank3-84d	NG	Blank	84	3	1209.23	458.3	6.16	XYJ
358	GL-PBAT1-84d	GL	PBAT	84	1	88.09	448.3	115	617
359	GL-PBAT2-84d	GL	PBAT	84	2	61.27	461.3	81	XYJ
360	GL-PBAT3-84d	GL	PBAT	84	3	90.36	452.3	83	617
361	GL-PET1-84d	GL	PET	84	1	14.23	446.4	72.8	617
362	GL-PET2-84d	GL	PET	84	2	21.91	454.9	80.4	617
363	GL-PET3-84d	GL	PET	84	3	4.06	447.2	87.6	617
367	GL-Blank1-84d	GL	Blank	84	1	669.82	450.4	84	617
368	GL-Blank2-84d	GL	Blank	84	2	640.71	446	55	617
369	GL-Blank3-84d	GL	Blank	84	3	658.6	438.1	123	617
394	NG-PBAT1-98d	NG	PBAT	98	1	56.17	454	23.2	XYJ
395	NG-PBAT2-98d	NG	PBAT	98	2	59.27	452.4	29	XYJ
396	NG-PBAT3-98d	NG	PBAT	98	3	76.23	451.7	24.2	XYJ
397	NG-PET1-98d	NG	PET	98	1	0.18	453.1	4.48	617
398	NG-PET2-98d	NG	PET	98	2	0.44	468.2	3.96	617
399	NG-PET3-98d	NG	PET	98	3	2.97	454.8	3.18	XYJ
400	NG-Cellulose1-98d	NG	Cellulose	98	1	39.14	454.3	15.7	617
401	NG-Cellulose2-98d	NG	Cellulose	98	2	55.95	451.7	18.7	617
402	NG-Cellulose3-98d	NG	Cellulose	98	3	65.83	458.8	23.2	617
403	NG-Blank1-98d	NG	Blank	98	1	1307.68	456.9	5.2	617
404	NG-Blank2-98d	NG	Blank	98	2	1393.2	450.7	5.9	617
405	NG-Blank3-98d	NG	Blank	98	3	1429	452.9	6.7	617
406	GL-PBAT1-98d	GL	PBAT	98	1	90.1	450.3	90.4	617
407	GL-PBAT2-98d	GL	PBAT	98	2	62.1	465.3	89.4	617
408	GL-PBAT3-98d	GL	PBAT	98	3	91.28	446.3	125	617
409	GL-PET1-98d	GL	PET	98	1	14.31	447.4	67	617
410	GL-PET2-98d	GL	PET	98	2	23.3	462.8	68.4	617
411	GL-PET3-98d	GL	PET	98	3	3.93	448.7	71.6	617
412	GL-Cellulose1-98d	GL	Cellulose	98	1	80.18	457.9	89.2	617
413	GL-Cellulose2-98d	GL	Cellulose	98	2	67.85	457.3	65.6	617
414	GL-Cellulose3-98d	GL	Cellulose	98	3	74.48	459	87	617
415	GL-Blank1-98d	GL	Blank	98	1	727.06	458	97.4	617
416	GL-Blank2-98d	GL	Blank	98	2	696.29	451.8	57.6	617
417	GL-Blank3-98d	GL	Blank	98	3	719.67	449.3	75.8	617
466	NG-PBAT1-119d	NG	PBAT	119	1	56.13	456.5	20	617
467	NG-PBAT2-119d	NG	PBAT	119	2	58.87	466.9	22.8	617
468	NG-PBAT3-119d	NG	PBAT	119	3	78.67	464.9	18.7	617
469	NG-PET1-119d	NG	PET	119	1	0.45	453.7	3.24	617
470	NG-PET2-119d	NG	PET	119	2	4.28	452.3	2.8	617
471	NG-PET3-119d	NG	PET	119	3	4.45	458.2	2.98	617
472	NG-Cellulose1-119d	NG	Cellulose	119	1	41.29	463.2	16.7	617
473	NG-Cellulose2-119d	NG	Cellulose	119	2	58.22	458.7	14.5	617
474	NG-Cellulose3-119d	NG	Cellulose	119	3	70.67	459.1	11.6	617
475	NG-Blank1-119d	NG	Blank	119	1	1713.4	454.4	5.64	617
476	NG-Blank2-119d	NG	Blank	119	2	1749.2	461.7	4.34	617
477	NG-Blank3-119d	NG	Blank	119	3	1843.68	452.2	5.3	617
478	GL-PBAT1-119d	GL	PBAT	119	1	94.51	456.6	76.6	617
479	GL-PBAT2-119d	GL	PBAT	119	2	60.88	449.7	72.6	617
480	GL-PBAT3-119d	GL	PBAT	119	3	90.62	467.2	81	617
481	GL-PET1-119d	GL	PET	119	1	17.24	446.6	38.2	617
482	GL-PET2-119d	GL	PET	119	2	24.22	451.9	49	617
483	GL-PET3-119d	GL	PET	119	3	6.02	446.1	41.4	617
484	GL-Cellulose1-119d	GL	Cellulose	119	1	87.12	447.7	55	617
485	GL-Cellulose2-119d	GL	Cellulose	119	2	69.45	453.8	46	617
486	GL-Cellulose3-119d	GL	Cellulose	119	3	74.85	450.1	45.4	617
487	GL-Blank1-119d	GL	Blank	119	1	818.19	447.3	51.4	617
488	GL-Blank2-119d	GL	Blank	119	2	783.84	450.7	77.4	617
489	GL-Blank3-119d	GL	Blank	119	3	815.32	461.5	46.8	617
